Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,9.1,16,25.4,17.7,0.9,4.1,10.1,5.7,5,10,17.7,11.7,535,349,80,337,6.4,14.3,22.3,10.8,57,9,0,7,136,478,1174,637,1171,747,146,604,0,3,124,30,51,75,92,80,21,3,0,6,71,251,425,177,0,23,345,58,72,62,55,63,46.51,17.48,-26.54,12.94
Canton Creek,57,43.4137,-122.7804,503,8.4,15.5,26.3,17.6,0.4,3.2,10.2,5.5,4.4,9.4,18.3,11.5,597,397,91,387,6.9,14.7,23.6,11.3,67,13,0,10,113,431,1222,630,1225,808,128,628,0,2,155,35,46,70,91,77,29,6,0,11,69,251,444,179,0,20,352,53,73,61,53,63,53.28,22.55,-29.04,17.37
Rock Creek,11,43.37876,-122.9521,295,8.8,16.8,27.2,18.1,0.8,4,10.3,5.4,4.8,10.4,18.7,11.8,653,385,84,419,6,13.6,22.5,9.8,61,9,0,8,132,512,1266,645,1188,716,105,608,0,6,177,35,50,75,92,78,28,3,0,10,71,267,460,186,0,32,376,58,73,60,52,61,58.5,19.22,-31.32,19.81
O'Neil Creek,9,41.80979,-123.1189,487,8.9,17.6,30,19.8,-0.3,2.9,11.1,5.2,4.3,10.2,20.6,12.5,462,194,36,206,6.9,15,23.4,11.8,68,11,0,8,117,509,1432,715,1230,730,62,567,0,7,294,59,41,67,92,75,23,2,0,5,80,291,519,214,0,138,483,118,69,55,48,56,39.33,-2.12,-45.7,-6.01
Deep Creek,8,41.66546,-123.1134,694,9.4,18.4,31.4,21,-0.5,3.4,12.4,6.1,4.4,10.9,21.9,13.5,133,55,31,72,7.8,15.6,23.7,13.1,67,9,0,7,125,568,1557,804,1223,672,40,501,0,12,402,88,39,71,92,77,7,0,0,1,84,304,539,224,4,249,507,169,66,54,48,55,5.76,-18.25,-51.32,-22.19
Little Jameson Creek,7,39.74298,-120.704,1592,6.6,14,26.1,17.4,-4.2,-0.3,8.2,2.3,1.2,6.8,17.2,9.9,660,331,38,273,8.8,18,25.6,14.8,147,31,0,18,34,276,1125,516,1508,1028,176,759,0,0,104,20,15,41,90,60,113,29,0,15,81,261,470,208,0,63,433,81,61,54,49,53,61.29,16.45,-40.32,2.58
Oregon Creek,6,39.39704,-121.082,448,14,21,33,24.8,2.4,6.7,14.3,8.5,8.2,13.9,23.6,16.7,731,367,20,285,6.8,17.1,25.2,12.5,24,3,0,2,323,809,1713,1058,887,431,16,295,0,41,529,165,63,86,92,85,7,0,0,1,116,335,571,268,0,100,552,119,62,57,49,53,58.78,9.6,-55.44,-8.08
Rainbow Pool,29,37.81878,-120.0073,833,12.3,18.4,30.4,22.2,0.4,4.5,13,6.7,6.4,11.5,21.7,14.5,506,257,15,176,4.8,16.5,25.1,11.7,39,7,0,3,214,608,1537,871,1045,627,37,416,0,13,377,86,47,76,92,81,10,1,0,1,117,312,532,254,0,129,518,143,61,57,51,54,38.85,2.24,-49.23,-14.06
Carlon,28,37.81006,-119.8568,1320,10.4,16.2,27.9,20.2,-1.2,2.7,11.5,5.3,4.6,9.5,19.7,12.7,533,296,18,186,6.6,18.5,26.5,14.1,62,13,0,6,128,450,1350,726,1205,800,82,538,0,3,238,49,34,65,92,75,23,5,0,3,107,286,490,237,0,80,472,116,61,57,53,55,44.09,9.45,-43.75,-10.11
Buck Meadows,27,37.77722,-120.0633,830,12.8,18.9,31,22.7,0.8,5,13.3,7.1,6.8,11.9,22.2,14.9,508,249,14,179,6.3,17.6,26.2,13.5,34,6,0,3,240,647,1578,908,1003,588,31,388,0,17,413,98,50,79,92,82,8,1,0,1,120,318,543,259,0,142,529,146,61,57,51,54,38.18,0.47,-51.2,-14.87
