chr2.0,marker,cM,bp2.0,diff
CE10_chr1,8054,0,42035,1.61
CE10_chr1,8053,1.61,42218,2.69
CE10_chr1,15359,4.3,159468,0
CE10_chr1,15358,4.3,160027,0
CE10_chr1,15354,4.3,166836,0
CE10_chr1,15353,4.3,171334,0
CE10_chr1,15351,4.3,209270,0
CE10_chr1,15350,4.3,209602,0
CE10_chr1,15349,4.3,210219,0
CE10_chr1,15344,4.3,216222,0
CE10_chr1,15343,4.3,216424,0
CE10_chr1,15342,4.3,217048,0
CE10_chr1,15341,4.3,232017,0
CE10_chr1,15340,4.3,232073,0
CE10_chr1,15339,4.3,232074,0
CE10_chr1,15338,4.3,232178,0
CE10_chr1,15337,4.3,232206,0
CE10_chr1,15336,4.3,232236,0
CE10_chr1,15335,4.3,232262,0
CE10_chr1,15334,4.3,232328,0
CE10_chr1,15333,4.3,232341,0
CE10_chr1,15332,4.3,232346,0
CE10_chr1,15331,4.3,232396,0
CE10_chr1,15330,4.3,232400,0
CE10_chr1,15329,4.3,232439,0
CE10_chr1,15328,4.3,232469,0
CE10_chr1,15327,4.3,232484,0
CE10_chr1,15326,4.3,232528,0
CE10_chr1,15325,4.3,232662,0
CE10_chr1,15324,4.3,232695,0
CE10_chr1,15323,4.3,232830,0
CE10_chr1,15322,4.3,232831,0
CE10_chr1,15321,4.3,232832,0
CE10_chr1,15320,4.3,232841,0
CE10_chr1,15319,4.3,232853,0
CE10_chr1,15318,4.3,232860,0
CE10_chr1,15317,4.3,232889,0
CE10_chr1,15316,4.3,232891,0
CE10_chr1,15315,4.3,232963,0
CE10_chr1,15314,4.3,232981,0
CE10_chr1,15313,4.3,232982,0
CE10_chr1,15312,4.3,233002,0
CE10_chr1,15311,4.3,233004,0
CE10_chr1,15310,4.3,233096,0
CE10_chr1,15309,4.3,233104,0
CE10_chr1,15308,4.3,233120,0
CE10_chr1,15307,4.3,233149,0
CE10_chr1,15306,4.3,233152,0
CE10_chr1,15305,4.3,233168,0
CE10_chr1,15304,4.3,233171,0
CE10_chr1,15303,4.3,233254,0
CE10_chr1,15302,4.3,233259,0
CE10_chr1,15301,4.3,233263,0
CE10_chr1,15300,4.3,233276,0
CE10_chr1,15299,4.3,233291,0
CE10_chr1,15298,4.3,233295,0
CE10_chr1,15297,4.3,233302,0
CE10_chr1,15296,4.3,233307,0
CE10_chr1,15295,4.3,233340,0
CE10_chr1,15294,4.3,233381,0
CE10_chr1,15293,4.3,233409,0
CE10_chr1,15292,4.3,233460,0
CE10_chr1,15291,4.3,233465,0
CE10_chr1,15290,4.3,233482,0
CE10_chr1,15289,4.3,233485,0
CE10_chr1,15283,4.3,244385,0
CE10_chr1,15282,4.3,244433,0
CE10_chr1,15281,4.3,244546,0
CE10_chr1,15280,4.3,244775,0
CE10_chr1,15279,4.3,246091,0
CE10_chr1,15278,4.3,246092,0
CE10_chr1,15277,4.3,246480,0
CE10_chr1,15276,4.3,246522,0
CE10_chr1,15275,4.3,246638,0
CE10_chr1,15274,4.3,246662,0
CE10_chr1,15273,4.3,246664,0
CE10_chr1,15272,4.3,246743,0
CE10_chr1,15271,4.3,246756,0
CE10_chr1,15270,4.3,246825,0
CE10_chr1,15269,4.3,246969,0
CE10_chr1,15268,4.3,247905,0
CE10_chr1,15267,4.3,247923,0
CE10_chr1,15256,4.3,258273,0
CE10_chr1,15255,4.3,258292,0.54
CE10_chr1,15254,4.84,266264,0
CE10_chr1,15253,4.84,266308,0
CE10_chr1,15252,4.84,266312,0
CE10_chr1,15251,4.84,266326,0
CE10_chr1,15250,4.84,266403,0
CE10_chr1,15249,4.84,266827,0
CE10_chr1,15248,4.84,266915,0
CE10_chr1,15247,4.84,266963,0
CE10_chr1,15246,4.84,266978,0
