Var1,Freq
CE10_Chr600005265,15
CE10_Chr400004341,10
CE10_Chr700004846,10
CE10_Chr600005758,9
CE10_Chr700004840,8
CE10_Chr700004841,8
CE10_Chr600005811,7
CE10_Chr800001816,7
CE10_Chr200001775,6
CE10_Chr300000699,6
CE10_Chr400001140,6
CE10_Chr600005489,6
CE10_Chr600005757,6
CE10_Chr700000544,6
CE10_Chr400004342,5
CE10_Chr500003416,5
CE10_Chr200002813,4
CE10_Chr200004927,4
CE10_Chr300004913,4
CE10_Chr100001563,3
CE10_Chr500003415,3
CE10_Chr700000523,3
CE10_Chr700000569,3
CE10_Chr800001245,3
CE10_Chr100000786,2
CE10_Chr100004081,2
CE10_Chr200002800,2
CE10_Chr200002812,2
CE10_Chr300004910,2
CE10_Chr500000012,2
CE10_Chr600005635,2
CE10_Chr700000215,2
CE10_Chr800002532,2
CE10_Chr100000155,1
CE10_Chr100001573,1
CE10_Chr100002372,1
CE10_Chr100003120,1
CE10_Chr100003546,1
CE10_Chr100003549,1
CE10_Chr100004066,1
CE10_Chr200000781,1
CE10_Chr200002797,1
CE10_Chr200004479,1
CE10_Chr200004879,1
CE10_Chr200004926,1
CE10_Chr200005100,1
CE10_Chr200006108,1
CE10_Chr200006149,1
CE10_Chr300000698,1
CE10_Chr300000953,1
CE10_Chr300001520,1
CE10_Chr300002034,1
CE10_Chr300002611,1
CE10_Chr300003989,1
CE10_Chr300004037,1
CE10_Chr300004912,1
CE10_Chr400000638,1
CE10_Chr400000717,1
CE10_Chr400002571,1
CE10_Chr400003772,1
CE10_Chr400003988,1
CE10_Chr400004466,1
CE10_Chr500000504,1
CE10_Chr500000946,1
CE10_Chr500001070,1
CE10_Chr500001073,1
CE10_Chr500001304,1
CE10_Chr500003386,1
CE10_Chr500004101,1
CE10_Chr600000045,1
CE10_Chr600000057,1
CE10_Chr600000300,1
CE10_Chr600000342,1
CE10_Chr600000941,1
CE10_Chr600001478,1
CE10_Chr600001549,1
CE10_Chr600004404,1
CE10_Chr600004477,1
CE10_Chr600005342,1
CE10_Chr600005439,1
CE10_Chr600005631,1
CE10_Chr600005634,1
CE10_Chr600005743,1
CE10_Chr600005744,1
CE10_Chr600005748,1
CE10_Chr600005753,1
CE10_Chr600005761,1
CE10_Chr600005800,1
CE10_Chr600006022,1
CE10_Chr600006428,1
CE10_Chr700000510,1
CE10_Chr700000522,1
CE10_Chr700000531,1
CE10_Chr700000576,1
CE10_Chr700000957,1
CE10_Chr700001677,1
CE10_Chr700001720,1
CE10_Chr700001875,1
CE10_Chr700001989,1
CE10_Chr700002054,1
CE10_Chr700002355,1
CE10_Chr700002592,1
CE10_Chr700003280,1
CE10_Chr700004333,1
CE10_Chr700004394,1
CE10_Chr700004599,1
CE10_Chr700004684,1
CE10_Chr700004690,1
CE10_Chr700004793,1
CE10_Chr700004847,1
CE10_Chr800000242,1
CE10_Chr800000384,1
CE10_Chr800000420,1
CE10_Chr800000538,1
CE10_Chr800000809,1
CE10_Chr800000845,1
CE10_Chr800001347,1
CE10_Chr800004684,1
CE10_Chr800004718,1
