win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
1255,17,4,6.375896218664006,2.1444754139828896e-5,1.5971007549797633e-7,CE10_chr1,12555000
3880,57,7,8.978159496497613,1.7063668340959316e-6,9.40372310798132e-7,CE10_chr1,38805000
5545,280,14,12.402399055527551,1.258136759607944e-6,4.557740184152337e-7,CE10_chr2,55455000
6458,128,20,14.395971590533366,4.2622199347109824e-18,2.953046696063666e-9,CE10_chr2,64585000
6461,78,11,11.26700669487087,4.202780708101042e-10,3.0845414222824274e-8,CE10_chr2,64615000
6467,69,14,10.228040463894162,9.23620318676822e-15,1.720733895371751e-7,CE10_chr2,64675000
6472,65,10,10.377544625436412,1.0844484285534647e-9,3.9892688818987665e-8,CE10_chr2,64725000
6475,30,7,7.981725797829128,1.6637423182915264e-8,1.4244152635178864e-8,CE10_chr2,64755000
6495,32,4,7.149616180950218,2.8747364479569e-4,1.2137190870120662e-6,CE10_chr2,64955000
13439,18,6,7.020341059019596,1.6743783421624385e-8,8.47125714020791e-9,CE10_chr3,134395000
14888,336,5,9.860108556462848,0.24781571015790785,1.578980568517352e-7,CE10_chr3,148885000
30515,138,12,13.484960780339437,1.9005270433601083e-8,1.2617267097780882e-7,CE10_chr6,305155000
31318,51,5,9.044647553706795,1.6019410629843e-4,1.657789495679296e-7,CE10_chr7,313185000
31474,67,8,10.498164219464885,3.858255807173798e-7,4.1451570398365334e-8,CE10_chr7,314745000
35345,142,30,14.330862375694348,1.7328515389771727e-30,1.5025857336148363e-8,CE10_chr7,353455000
35347,115,19,12.97240834962174,9.708972594581287e-18,5.2607662670567385e-08,CE10_chr7,353475000
37535,48,9,10.024396328176849,1.17952136624888e-9,1.0371749015192222e-9,CE10_chr8,375355000
