gene,SNPs,hits,Z,top_candidate_p,Z_pVal,approx_p
0,25,4,4.513529836984514,1.0692653379901e-4,0.01620206633156118,0.07006065165286704
1,12,0,0.8322691450206955,1,0.3531771602509177,0.0027759161832208927
2,3,0,0.2948047755756704,1,0.44032003053808455,9.783722169251971e-4
3,11,0,-0.23035547377288637,1,0.634993402449442,6.938910712414252e-5
4,14,1,2.3021898135401035,0.13125418723102178,0.09757553971294552,0.03604070547631599
5,5,0,-0.45208391401216536,1,0.6943339913394632,2.837050610824178e-5
6,13,1,1.7581847180614116,0.12247897700103214,0.1651075499766036,0.01965086984050576
7,1,0,-0.07628346316120478,1,0.5603835906277728,2.0151800269672964e-4
9,1,0,1.1893094789405203,1,0.14764984696498418,0.02309765117228577
10,1,0,1.005432558254414,1,0.1914852850826807,0.01529505340674314
13,1,0,-0.01440828852116669,1,0.5371858344905851,2.770406487831486e-4
14,7,0,-0.47030914618665537,1,0.6986645827613561,2.65349922852132e-5
15,37,0,0.08237971445208066,1,0.567648395707873,1.8216559913110928e-4
16,41,0,-2.7493993350886754,1,0.9106756890956452,7.663744179795675e-7
17,39,0,-0.36741522326227055,1,0.6401317852300001,6.432277792910251e-5
18,58,0,-0.8287855170089566,1,0.6634196167636399,4.544190681483e-5
19,80,0,-0.7445431613732474,1,0.5885824810719879,1.3571419732749212e-4
20,46,0,-1.323749812466038,1,0.7590684259923337,1.0201846378653348e-5
21,47,0,-1.8292688238213743,1,0.8138460686207034,4.131242795565416e-6
22,108,0,1.181711270142914,1,0.28428361107117417,0.005954566185405148
23,94,0,-3.0524497864704547,1,0.778157573695079,7.474946540016616e-6
24,69,1,-1.997928733589382,0.500162970100801,0.7644617519894358,9.347719191784774e-6
25,103,1,3.2251642975886043,0.644839185294927,0.13630248721301397,0.025609678012330144
26,62,1,-0.1956171048465466,0.463731774792815,0.5694464089354678,1.7765323778879465e-4
27,85,2,2.323044694124489,0.2090042151160357,0.2308866537039025,0.010368538730972128
28,48,1,1.884524094710665,0.3827098590577121,0.2884795945013481,0.005692870778190197
29,72,0,4.124751590001718,1,0.10152495031409514,0.034832718352985396
30,87,0,4.0468680247582185,1,0.10453668227551172,0.03393492671944905
31,77,0,-0.7673173488768503,1,0.6008488115489984,1.1394282327977519e-4
32,134,0,-1.437944101061877,1,0.4319106786396064,0.001086069837265315
33,65,0,-0.2556732444501012,1,0.5703179594910792,1.7550398147930246e-4
34,40,1,1.919194238554512,0.3310282414303197,0.27009332065507297,0.006921827330866295
35,1,0,0.29187091803012344,1,0.4220319746182051,0.0012265496513917604
36,35,0,0.4295627795228521,1,0.5069549476351847,4.155405943617312e-4
37,106,1,-0.8369154491908615,0.6553878166524825,0.5032946164341642,4.361339434583649e-4
38,77,0,5.290663637785568,1,0.05143677528675994,0.053002386375134235
39,68,3,3.61111097811906,0.03097556841408303,0.13272975830375566,0.026448027191766924
40,48,0,0.4437722103533585,1,0.5001721881747602,0.00045445001284682063
41,41,2,2.1747879783400053,0.06343953800244735,0.23801462025501807,0.009646482642102659
42,69,0,1.7901843445991852,1,0.3026197325504286,0.004885601275999589
43,34,0,2.8310122911990576,1,0.1402942071222677,0.02470029474349332
44,88,2,1.6184868586766976,0.2199839545248775,0.29390021821258383,0.005370167765033855
45,105,0,2.967440936268737,1,0.14925268063971797,0.02276066132657813
46,67,4,1.99627543609255,0.00464639578359108,0.2806042194710181,0.0061929103898930565
47,88,0,1.184604252929887,1,0.33945013526995216,0.0032457393837759967
48,112,7,4.361822998047964,1.4500074810911e-4,0.06963224619516606,0.04564975893338577
49,25,0,-0.8334639140828087,1,0.7442789168191548,1.2943309449314243e-5
50,56,0,0.7222990390865381,1,0.4514950567275612,8.505265206863399e-4
51,76,0,1.762532104002282,1,0.29853693713066887,0.005107341881950427
52,53,0,1.7241387375065682,1,0.31373893372239037,0.0043251687498213265
53,41,0,3.341683361791198,1,0.11501048637787314,0.030965115208624616
54,74,4,0.6049320222484724,0.00660246396316475,0.438394048985477,0.0010021265452675571
55,63,1,1.388306484618325,0.4690944570448869,0.3555617745587081,0.002700938531148213
56,58,0,-4.045146001918307,1,0.9406672464036334,4.4467744102397e-7
