Site,Latitude,Longitude,Elevation,Region_demo,RegionRank,lambda.slope,lambda.mean,offset_bf30,offset_env9,offset_oldWZA,offset_old_snp_set,offset_new_snp_set,Site_Name,Paper_ID,Demo_ID,Region
CoastForkofWilliamette,43.6517,-123.088,254,N2,7,-0.37382342480227,1.82425295197683,0.021276570856571198,0.021291296929121017,0.08388489484786987,0.06842424720525742,0.021524185314774513,Coast Fork Willamette,55,25,North
CantonCreek,43.4137,-122.7804,503,N2,7,-0.770535434036355,0.991687425376823,0.025245577096939087,0.026799680665135384,0.09109912067651749,0.07576704770326614,0.026614496484398842,Canton,57,24,North
RockCreek,43.37876,-122.9521,295,N2,7,-0.047347288169781,0.161448541503108,0.025645455345511436,0.02643521875143051,0.09269514679908752,0.07759206742048264,0.026460377499461174,Rock Creek,11,15,North
O'NeilCreek,41.80979,-123.1189,487,N1,6,0.202840927926953,1.03877757273145,0.02682611718773842,0.03184308484196663,0.08008720725774765,0.06572036445140839,0.030831078067421913,O'Neil Creek,9,16,North
DeepCreek,41.66546,-123.1134,694,N1,6,0.0651791715705278,1.11167941984536,0.024011585861444473,0.030456455424427986,0.04719466343522072,0.0418630950152874,0.029069503769278526,Deep Creek,8,17,North
LittleJamesonCreek,39.74298,-120.704,1592,C3,5,-0.00545888903649532,0.919232169027579,0.039680544286966324,0.04531538113951683,0.1012488529086113,0.08512379974126816,0.04421929270029068,Little Jameson Creek,7,18,Center
OregonCreek,39.39704,-121.082,448,C3,5,-0.0865140162863379,1.03720447740632,0.03158559650182724,0.03728468716144562,0.10063724964857101,0.08429592847824097,0.03622620180249214,Oregon Creek,6,29,Center
RainbowPool,37.81878,-120.0073,833,C2,4,-0.118712409674565,0.682184856553465,0.028495285660028458,0.03480043262243271,0.08772455900907516,0.07255257666110992,0.03359071910381317,Rainbow Pool,29,35,Center
Carlon,37.81006,-119.8568,1320,C2,4,0.0563485170649856,0.843931416073889,0.031647179275751114,0.039229996502399445,0.09429438412189484,0.07861766219139099,0.03775995224714279,Carlon,28,1,Center
BuckMeadows,37.77722,-120.0633,830,C2,4,-0.093220905436923,0.620227752010454,0.027660883963108063,0.03341182693839073,0.08574716746807098,0.07096941769123077,0.03231987729668617,Buck Meadows,27,31,Center
Wawona,37.53822,-119.6514,1208,C2,4,0.0681236599385271,0.994696438769543,0.029715850949287415,0.035807833075523376,0.09086040407419205,0.07542572170495987,0.03467574343085289,Wawona,5,32,Center
RedwoodCreek,36.68952,-118.9096,1677,C1,3,-0.0799871338461118,0.631941821571198,0.03798771649599075,0.0483466237783432,0.10346075147390366,0.08738058805465698,0.04627975448966026,Redwoods,4,8,Center
NorthForkMiddleForkTule,36.20081,-118.6509,1284,C1,3,-0.023476256609894,0.887480833182056,0.038733720779418945,0.05017155408859253,0.10198748111724854,0.08622581511735916,0.04783555865287781,NFMF Tule,3,10,Center
SouthForkMiddleForkTule,36.13756,-118.5741,1664,C1,3,-0.290794144637236,1.12320529911464,0.037949055433273315,0.04879840463399887,0.10189072787761688,0.0858587697148323,0.046598710119724274,SFMF Tule,58,3,Center
WestForkMojaveRiver,34.28425,-117.3754,1087,S2,2,0.0239470757034448,NA,0.025769146159291267,0.03404467925429344,0.05689596012234688,0.05027301236987114,0.03213803097605705,West Fork Mojave River,2,7,South
WhitewaterCanyon,33.99329,-116.6627,696,S2,2,-0.0621162342187999,0,0.02573598176240921,0.034338027238845825,0.05488540604710579,0.04868284612894058,0.03229675814509392,Whitewater Canyon,17,12,South
SweetwaterRiver,32.89913,-116.5865,1386,S1,1,-0.0399603320700885,0.51541563825453,0.019018610939383507,0.023969292640686035,0.041222333908081055,0.036503635346889496,0.0226274486631155,Sweetwater,1,2,South
KitchenCreek,32.75206,-116.4522,1173,S1,1,-0.144592719002202,0,0.017819402739405632,0.023235509172081947,0.0338042713701725,0.03006771020591259,0.0216586422175169,Kitchen Creek,15,14,South
HauserCreek,32.65822,-116.5323,788,S1,1,-0.0230497577490365,0,0.01811346225440502,0.023677127435803413,0.03587546572089195,0.03198704868555069,0.02216443605720997,Hauser Creek,14,13,South
