win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
911,30,4,7.059274884501224,2.2259789863339e-4,7.347345110098048e-8,CE10_chr1,9115000
1028,63,11,10.044579047713931,3.8178262085644926e-11,3.648635948927391e-9,CE10_chr1,10285000
9935,90,3,10.59157592117676,0.06194352705225906,1.5344216586221648e-7,CE10_chr2,99355000
9938,119,7,12.364233225896848,2.1104439042986e-4,2.419922529028895e-8,CE10_chr2,99385000
10362,200,22,13.829920059979404,2.0396076305994363e-16,2.078523020365708e-8,CE10_chr3,103625000
14459,7,3,5.032423686797393,3.396253015000008e-5,1.925936478075485e-7,CE10_chr3,144595000
19146,16,3,5.571470863063252,5.0794240929045e-4,5.714734346851102e-7,CE10_chr4,191465000
20351,73,9,10.489237103640953,5.452590142499148e-8,7.593579876008505e-9,CE10_chr5,203515000
30336,96,18,14.114575913720891,6.514891204699327e-18,3.579359031391505e-13,CE10_chr6,303365000
30718,120,23,14.054204240030334,1.0578742805814456e-22,6.026534826730767e-11,CE10_chr6,307185000
40547,25,9,8.447114362405118,1.7680120280036342e-12,2.0186075033734596e-12,CE10_chr8,405475000
