win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
1255,17,3,5.997629246334114,6.1219190682273e-4,9.492589304604948e-7,CE10_chr1,12555000
3880,57,11,9.767763023932936,1.2087041773476632e-11,4.5927097902520586e-8,CE10_chr1,38805000
6458,128,13,12.613291839977949,7.263495433250061e-10,5.249322952982638e-7,CE10_chr2,64585000
6475,30,4,7.058851065240796,2.2259789863339e-4,8.614760331759896e-7,CE10_chr2,64755000
13439,18,7,7.027228072578232,2.8893466308607943e-10,7.449310168716748e-9,CE10_chr3,134395000
14888,336,5,9.721186477734689,0.24781571015790785,2.096962554709592e-7,CE10_chr3,148885000
25364,46,5,8.26329545326614,9.742899389210383e-5,7.726500823590499e-7,CE10_chr6,253645000
30336,96,9,11.547200909767836,5.923818523777468e-7,2.665743237262319e-7,CE10_chr6,303365000
30515,138,18,14.752155752778272,5.163806386635447e-15,2.348625516290781e-9,CE10_chr6,305155000
31318,51,6,8.867287819090045,1.2244756387010934e-5,2.943160036794623e-7,CE10_chr7,313185000
31474,67,7,10.530957147548053,5.144163516221633e-6,3.245298696441523e-8,CE10_chr7,314745000
35345,142,31,15.043279952698192,6.314357196269375e-32,1.3632784900963202e-9,CE10_chr7,353455000
35347,115,23,13.261631052825352,3.7534730123350733e-23,1.8428099379796947e-8,CE10_chr7,353475000
37535,48,12,10.486176829662543,4.991031038554132e-14,1.0295464480947203e-10,CE10_chr8,375355000
