win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
0,25,0,2.2449209722612484,1,0.1842760682019663,CE10_chr1,5000
1,12,0,0.30253198103993695,1,0.49155340438484896,CE10_chr1,15000
2,3,0,-0.37065568583764674,1,0.6430645628637572,CE10_chr1,25000
3,11,0,-0.8107370356355634,1,0.7583357335012958,CE10_chr1,35000
4,14,0,1.6895762271984438,1,0.1970012769134577,CE10_chr1,45000
5,5,0,-0.3165138918829691,1,0.6331561003336325,CE10_chr1,55000
6,13,2,0.6719013137196754,0.00724894367793522,0.4044606275875453,CE10_chr1,65000
7,1,0,-0.12447580841244524,1,0.550808668887468,CE10_chr1,75000
9,1,0,1.655372142488318,1,0.07287836987103247,CE10_chr1,95000
10,1,0,0.21648728708724607,1,0.4303703352145597,CE10_chr1,105000
13,1,0,0.14174273857708333,1,0.4566095221830083,CE10_chr1,135000
14,7,0,-0.2246894711486113,1,0.6130880149759325,CE10_chr1,145000
15,37,0,-1.7250720970186857,1,0.8284264994404972,CE10_chr1,155000
16,41,1,-4.440059000834823,0.33771795901601653,0.9777399960392494,CE10_chr1,165000
17,39,1,-0.809715069849562,0.3242709509397169,0.7073426926582966,CE10_chr1,175000
18,58,2,-0.6397043087648894,0.11466885098975128,0.6350098903371759,CE10_chr1,185000
19,80,1,-1.4964275424188296,0.5524767862361895,0.6604053824786595,CE10_chr1,195000
20,46,0,-2.40895522979858,1,0.8679115168896199,CE10_chr1,205000
21,47,2,-1.886671166121884,0.08045749844328064,0.8168204355298634,CE10_chr1,215000
22,108,1,0.9714719621948262,0.662245599101098,0.24276866972827785,CE10_chr1,225000
23,94,1,-3.1569328978515676,0.6112160819257733,0.7714717125623349,CE10_chr1,235000
24,69,0,-2.893078835603992,1,0.8400107713799767,CE10_chr1,245000
25,103,1,1.9727954755569972,0.644839185294927,0.17808845635443005,CE10_chr1,255000
26,62,1,-1.03044704522663,0.463731774792815,0.6724945458702842,CE10_chr1,265000
27,85,4,2.909267924548852,0.01066138079759355,0.15681350563549556,CE10_chr1,275000
28,48,3,1.929350572492252,0.01237356391021113,0.2881838267098601,CE10_chr1,285000
29,72,0,4.8832062953861195,1,0.05833925953790431,CE10_chr1,295000
30,87,1,2.663411444524296,0.5828791200667797,0.17135715723616363,CE10_chr1,305000
31,77,0,2.5788026309071252,1,0.1983565886062577,CE10_chr1,315000
32,134,6,1.3412643222626188,0.00241740148268008,0.0911021217457435,CE10_chr1,325000
33,65,0,-0.48515085328462937,1,0.5931141847337171,CE10_chr1,335000
34,40,1,0.788125624798422,0.3310282414303197,0.4530235100019602,CE10_chr1,345000
35,1,0,0.48671488198255614,1,0.33882226612988875,CE10_chr1,355000
36,35,0,-1.174038296045108,1,0.7673547586344747,CE10_chr1,365000
37,106,3,0.6715981233684787,0.09073859184095386,0.28186328784146353,CE10_chr1,375000
38,77,0,6.267700082358714,1,0.02169995553821724,CE10_chr1,385000
39,68,3,4.303434922145114,0.03097556841408303,0.08446276253830254,CE10_chr1,395000
40,48,0,0.52509281998668,1,0.4901329189668794,CE10_chr1,405000
41,41,3,3.3272173212002385,0.00802975597950406,0.12491274095337368,CE10_chr1,415000
42,69,1,2.330996405273122,0.500162970100801,0.2337643118203467,CE10_chr1,425000
43,34,0,0.9159748904615164,1,0.42734118985752434,CE10_chr1,435000
44,88,7,1.7511582926905946,3.128318460247058e-5,0.24886891463335448,CE10_chr1,445000
45,105,0,2.385923584104477,1,0.14128375549666905,CE10_chr1,455000
46,67,2,1.030471574472397,0.14487238507648623,0.3874829448301207,CE10_chr1,465000
47,88,0,-3.0380053316089812,1,0.7854805758696654,CE10_chr1,475000
48,112,5,3.4866607203125417,0.00554632300163287,0.06519714196366466,CE10_chr1,485000
49,25,0,-0.9479463432182504,1,0.7580464361770283,CE10_chr1,495000
50,56,0,-2.544098325513642,1,0.8507875114886109,CE10_chr1,505000
