chr2.0,marker,cM,bp2.0
CE10_chr1,8054,0,42035
CE10_chr1,8053,1.61,42218
CE10_chr1,15359,4.3,159468
CE10_chr1,15358,4.3,160027
CE10_chr1,15354,4.3,166836
CE10_chr1,15353,4.3,171334
CE10_chr1,15351,4.3,209270
CE10_chr1,15350,4.3,209602
CE10_chr1,15349,4.3,210219
CE10_chr1,15344,4.3,216222
CE10_chr1,15343,4.3,216424
CE10_chr1,15342,4.3,217048
CE10_chr1,15341,4.3,232017
CE10_chr1,15340,4.3,232073
CE10_chr1,15339,4.3,232074
CE10_chr1,15338,4.3,232178
CE10_chr1,15337,4.3,232206
CE10_chr1,15336,4.3,232236
CE10_chr1,15335,4.3,232262
CE10_chr1,15334,4.3,232328
CE10_chr1,15333,4.3,232341
CE10_chr1,15332,4.3,232346
CE10_chr1,15331,4.3,232396
CE10_chr1,15330,4.3,232400
CE10_chr1,15329,4.3,232439
CE10_chr1,15328,4.3,232469
CE10_chr1,15327,4.3,232484
CE10_chr1,15326,4.3,232528
CE10_chr1,15325,4.3,232662
CE10_chr1,15324,4.3,232695
CE10_chr1,15323,4.3,232830
CE10_chr1,15322,4.3,232831
CE10_chr1,15321,4.3,232832
CE10_chr1,15320,4.3,232841
CE10_chr1,15319,4.3,232853
CE10_chr1,15318,4.3,232860
CE10_chr1,15317,4.3,232889
CE10_chr1,15316,4.3,232891
CE10_chr1,15315,4.3,232963
CE10_chr1,15314,4.3,232981
CE10_chr1,15313,4.3,232982
CE10_chr1,15312,4.3,233002
CE10_chr1,15311,4.3,233004
CE10_chr1,15310,4.3,233096
CE10_chr1,15309,4.3,233104
CE10_chr1,15308,4.3,233120
CE10_chr1,15307,4.3,233149
CE10_chr1,15306,4.3,233152
CE10_chr1,15305,4.3,233168
CE10_chr1,15304,4.3,233171
CE10_chr1,15303,4.3,233254
CE10_chr1,15302,4.3,233259
CE10_chr1,15301,4.3,233263
CE10_chr1,15300,4.3,233276
CE10_chr1,15299,4.3,233291
CE10_chr1,15298,4.3,233295
CE10_chr1,15297,4.3,233302
CE10_chr1,15296,4.3,233307
CE10_chr1,15295,4.3,233340
CE10_chr1,15294,4.3,233381
CE10_chr1,15293,4.3,233409
CE10_chr1,15292,4.3,233460
CE10_chr1,15291,4.3,233465
CE10_chr1,15290,4.3,233482
CE10_chr1,15289,4.3,233485
CE10_chr1,15283,4.3,244385
CE10_chr1,15282,4.3,244433
CE10_chr1,15281,4.3,244546
CE10_chr1,15280,4.3,244775
CE10_chr1,15279,4.3,246091
CE10_chr1,15278,4.3,246092
CE10_chr1,15277,4.3,246480
CE10_chr1,15276,4.3,246522
CE10_chr1,15275,4.3,246638
CE10_chr1,15274,4.3,246662
CE10_chr1,15273,4.3,246664
CE10_chr1,15272,4.3,246743
