win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
4167,82,37,18.95682587516051,1.8590233353728483e-51,1.0274529005371842e-9,CE10_chr1,41675000
8850,7,5,7.183313121661049,2.0651500000000087e-9,1.315818313196715e-7,CE10_chr2,88505000
9933,43,19,13.937401177955453,6.366220835919096e-27,4.1811868523033986e-8,CE10_chr2,99335000
9935,62,25,15.77249577875252,1.031094068428043e-33,5.4693592876908794e-8,CE10_chr2,99355000
9938,72,42,19.31396720653674,1.2240062134341734e-64,1.9972390408184992e-10,CE10_chr2,99385000
9940,52,24,15.00317671742564,3.2548010903513163e-34,4.134534981048432e-8,CE10_chr2,99405000
10030,46,19,12.866520250970847,3.2106918454421156e-26,8.010161119953452e-7,CE10_chr3,100305000
34119,9,8,7.943586681528128,8.920000000000064e-16,3.8716659767068506e-8,CE10_chr7,341195000
34155,69,25,14.821118846594228,2.7132564148891377e-32,6.452051145577897e-7,CE10_chr7,341555000
34159,52,17,13.271252477265604,1.5746354045248887e-21,1.1540710384005948e-6,CE10_chr7,341595000
34186,85,20,15.28822337901497,7.540561270270919e-22,6.638245604317916e-7,CE10_chr7,341865000
