Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,11.3,21.3,2.6,18.7,1491,198,14.3,107.7,90,2571,2680,254,298,98,313,215,54,-18.3,38.9,-9999,926,465,65,68.16,1306
Canton Creek,57,43.4137,-122.7804,503,11.3,22.3,2.5,19.8,1627,212,13.1,105.3,97,2607,2738,314,292,108,312,205,78,-19.4,39.3,-9999,947,479,64,77.42,1379
Rock Creek,11,43.37876,-122.9521,295,11.8,22.5,2.8,19.8,1707,195,12.8,115.7,88,2747,2590,344,297,101,311,210,72,-18.5,40,-9999,992,525,63,80.09,1461
O'Neil Creek,9,41.80979,-123.1189,487,12.6,24.6,2,22.6,1296,92,17.4,267.5,95,3061,2516,555,289,112,307,195,78,-20.1,41.6,-9999,1098,698,60,24.02,1749
Deep Creek,8,41.66546,-123.1134,694,13.5,26.1,2.1,24,407,62,57.7,419.3,90,3361,2360,716,294,107,312,205,21,-20.8,42.4,-9999,1144,896,60,-76.46,1998
Little Jameson Creek,7,39.74298,-120.704,1592,9.9,21,-0.3,21.3,2290,91,8.7,230.9,175,2295,3201,250,235,136,286,149,367,-28,38.3,-9999,999,654,59,135.25,1193
Oregon Creek,6,39.39704,-121.082,448,16.5,27,6.4,20.6,2386,55,11.1,493.8,28,4254,1511,971,338,55,334,278,24,-15.6,44.3,-9999,1282,839,58,100.48,2606
Rainbow Pool,29,37.81878,-120.0073,833,14.6,24.9,4.9,20,1599,51,15.4,492,42,3604,1881,635,321,80,321,241,35,-20.1,42.9,-9999,1204,791,59,38.8,2047
Carlon,28,37.81006,-119.8568,1320,12.8,23,3.1,19.9,1773,60,12.8,383.6,69,3042,2327,422,298,104,308,204,87,-23.3,40.3,-9999,1108,706,60,69.78,1627
Buck Meadows,27,37.77722,-120.0633,830,15,25.4,5.4,20,1574,48,15.9,533.4,38,3735,1790,688,325,74,323,250,29,-19.3,43.1,-9999,1229,809,59,31.53,2150
Wawona,5,37.53822,-119.6514,1208,13.7,24,4,20,1831,53,12.9,455.4,55,3315,2115,533,306,97,313,216,63,-21.6,41,-9999,1169,762,59,65.85,1830
Redwood Creek,4,36.68952,-118.9096,1677,11.6,22,2.8,19.2,1522,103,14.2,213.2,89,2695,2655,327,276,119,300,180,118,-25.5,37.9,-9999,1041,629,62,56.92,1400
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.9,25.4,6,19.4,1120,69,22.2,368.8,36,3706,1803,673,340,58,333,275,25,-17,40.5,-9999,1129,783,66,0.22,2114
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,12.1,22.2,3.5,18.7,1197,74,18.4,300,71,2805,2498,336,286,122,303,181,74,-23.7,37.9,-9999,1078,726,61,19.4,1439
West Fork Mojave River,2,34.28425,-117.3754,1087,16.4,25.7,6.5,19.2,675,64,39.1,403.4,24,4199,1384,786,347,48,345,297,10,-15.2,41.4,-9999,1320,1075,61,-65.89,2498
Mill Creek,12,34.07808,-116.8756,1992,10.2,20.1,0.5,19.5,764,88,26.5,226.7,126,2297,2986,173,245,153,288,135,146,-29.3,35.9,-9999,1076,856,59,-16.82,1073
Whitewater Canyon,17,33.99329,-116.6627,696,20.2,29.9,10.1,19.8,279,39,108.3,757.4,9,5530,743,1525,363,14,358,344,1,-9.9,44.9,-9999,1514,1326,60,-139.18,3709
Sweetwater River,1,32.89913,-116.5865,1386,14.5,23.5,6.1,17.4,615,84,39.8,280.1,33,3545,1787,501,331,80,330,251,11,-18,41.3,-9999,1255,1019,60,-59.67,1935
Kitchen Creek,15,32.75206,-116.4522,1173,14.8,23.4,7,16.4,452,67,54.9,348.9,27,3628,1681,500,322,98,324,227,6,-17.7,42.4,-9999,1397,1160,53,-95.51,1983
Hauser Creek,14,32.65822,-116.5323,788,16.4,24.6,8.9,15.7,314,41,84.2,596.1,16,4169,1289,692,336,72,335,263,2,-15.4,44.5,-9999,1520,1297,50,-126.66,2432
