Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,11.1,18.9,4.1,14.9,1301,208,16.2,91,74,2425,2668,156,298,103,307,204,30,-15.3,39.6,13.4,923,426,63,50.39,1145
Canton Creek,57,43.4137,-122.7804,503,10.9,19.6,3.6,16,1471,235,14.2,83.7,89,2396,2789,192,285,116,305,190,46,-16.3,40.1,14.1,943,425,62,64.16,1180
Rock Creek,11,43.37876,-122.9521,295,11.4,19.9,3.7,16.2,1541,220,13.9,90.4,78,2555,2617,218,294,107,304,197,41,-15.5,40.7,13,984,466,61,66.2,1273
O'Neil Creek,9,41.80979,-123.1189,487,11.9,22.1,3.6,18.5,899,84,24.4,262.6,87,2773,2590,360,275,122,300,178,31,-17.5,42.6,14.3,1105,739,57,-14.5,1496
Deep Creek,8,41.66546,-123.1134,694,12.7,23.7,3.6,20.1,292,58,77.7,410.9,83,3054,2436,502,279,118,306,188,9,-18.2,43.4,15.1,1151,929,56,-85.99,1725
Little Jameson Creek,7,39.74298,-120.704,1592,8.8,18.7,0.8,17.8,1302,123,14.4,151.4,196,1951,3472,124,207,150,278,128,157,-26,38.7,16.8,1020,577,54,40,940
Oregon Creek,6,39.39704,-121.082,448,15.6,25.1,7.6,17.5,1403,92,18.2,272.5,29,3903,1628,735,326,71,329,258,9,-13.1,45,15.4,1290,771,55,4.86,2290
Rainbow Pool,29,37.81878,-120.0073,833,13.5,23,6.1,16.9,954,62,24.6,372.3,49,3229,2124,476,296,103,312,209,13,-16.8,43.5,14.5,1215,790,56,-22.19,1770
Carlon,28,37.81006,-119.8568,1320,11.6,21.1,4.4,16.7,1032,81,20.9,258.9,81,2655,2624,290,265,123,300,177,31,-20.2,41,16.4,1120,668,57,-0.32,1376
Buck Meadows,27,37.77722,-120.0633,830,14,23.5,6.6,16.9,952,56,25.2,420.8,43,3373,2010,528,303,96,316,219,11,-16,43.7,15.9,1239,817,56,-27.42,1870
Wawona,5,37.53822,-119.6514,1208,12.6,22.2,5.4,16.8,1051,68,21.5,325.3,62,2955,2358,384,280,115,306,191,21,-18.5,41.7,18.7,1174,741,56,-7.33,1582
Redwood Creek,4,36.68952,-118.9096,1677,9.9,19.6,2.4,17.1,988,71,20.1,276.8,135,2209,3129,182,236,132,293,161,71,-23.1,38.7,19.3,1030,623,58,11.77,1102
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,13.1,23,5.5,17.4,912,59,25.4,388.3,57,3141,2238,466,307,93,321,228,16,-14.3,41.5,17.8,1138,738,62,-14.45,1724
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,10.4,19.8,3.3,16.5,975,65,20.9,303,109,2310,2966,194,245,135,296,161,50,-21.7,38.8,18.5,1074,666,58,5.01,1147
West Fork Mojave River,2,34.28425,-117.3754,1087,15,23.8,7.9,15.9,612,44,40.9,538.3,29,3703,1708,604,327,74,335,261,4,-11.8,42.6,17.4,1312,927,58,-66.85,2081
Mill Creek,12,34.07808,-116.8756,1992,8.6,18,1.5,16.5,830,66,22.5,273.2,180,1888,3489,97,201,155,282,127,96,-26.6,36.8,21.7,1074,690,54,-3.26,866
Whitewater Canyon,17,33.99329,-116.6627,696,18.6,27.8,11,16.8,277,29,103.2,973.6,12,4947,1021,1229,355,28,352,324,0,-5.4,46.2,17.4,1528,1255,56,-136.72,3173
Sweetwater River,1,32.89913,-116.5865,1386,13.3,22.2,6.6,15.6,712,52,32.8,427,44,3160,2119,400,299,107,316,209,8,-15.3,42.6,19.4,1291,874,56,-50.25,1670
Kitchen Creek,15,32.75206,-116.4522,1173,13.7,22.3,7.3,15,533,45,44.4,490.8,36,3255,1993,400,290,121,311,190,4,-15,43.8,19.2,1418,1017,50,-86.3,1709
Hauser Creek,14,32.65822,-116.5323,788,15.3,23.6,8.9,14.7,365,32,69.2,738,22,3775,1581,572,307,102,320,218,1,-12.7,45.9,16.4,1544,1202,47,-122.3,2092
