"","Site","Paper_ID","Latitude","Longitude","MAT_1215","MAP_1215","PAS_1215","CMD_1215","Tave_wt_1215","Tave_sm_1215","PPT_wt_1215","PPT_sm_1215","MAT_1619","MAP_1619","PAS_1619","CMD_1619","Tave_wt_1619","Tave_sm_1619","PPT_wt_1619","PPT_sm_1619"
"1","Buck Meadows",27,37.77722,-120.0633,1.1081944444444,-0.20124150813581,-3,-16.5,0.2,0,-0.0703799654690074,0.196294645143968,0.61027777777775,0.190859499003606,-3,-90.5,0.2,0,-0.0703799654690074,0.196294645143968
"2","Canton Creek",57,43.4137,-122.7804,0.662222222222274,-0.0205703891967065,6,-43.766666666667,-0.2,0.899999999999999,-0.055815027723412,-0.188189380678949,0.349722222222299,0.082878623614885,6,17.733333333333,-0.2,0.899999999999999,-0.055815027723412,-0.188189380678949
"3","Carlon",28,37.81006,-119.8568,1.2530555555556,-0.218689608177417,-8,-21.8166666666669,0.5,0.100000000000001,-0.0813049396774805,0.176091259055681,0.700972222222275,0.189167763985212,-8,-57.816666666667,0.5,0.100000000000001,-0.0813049396774805,0.176091259055681
"4","Coast Fork of Williamette",55,43.6517,-123.088,0.414999999999999,-0.0156122028400885,4,-51.066666666667,-0.5,0.699999999999999,-0.0799937710402969,-0.170696227168975,0.18791666666665,0.0880926700226791,4,2.433333333333,-0.5,0.699999999999999,-0.0799937710402969,-0.170696227168975
"5","Deep Creek",8,41.66546,-123.1134,1.05305555555555,0.00965522844958056,-4,-30.416666666667,0.399999999999999,0.900000000000002,-0.189353189723518,0.121422162885463,0.553055555555575,0.183567993971329,-4,-73.166666666667,0.399999999999999,0.900000000000002,-0.189353189723518,0.121422162885463
"6","Hauser Creek",14,32.65822,-116.5323,0.691111111111075,-0.191256100826253,0,3.96666666667011,0.699999999999999,0,0.00423705294325449,-0.455931955649724,0.6931944444444,-0.0744651757880058,0,-7.53333333332989,0.699999999999999,0,0.00423705294325449,-0.455931955649724
"7","Kitchen Creek",15,32.75206,-116.4522,0.644444444444474,-0.201198266215092,0,-19.38333333333,0.6,0.100000000000001,0.0148237763170243,-0.460730838531493,0.671527777777799,-0.0909305256471291,0,-5.63333333333003,0.6,0.100000000000001,0.0148237763170243,-0.460730838531493
"8","Little Jameson Creek",7,39.74298,-120.704,1.23722222222223,-0.177672561044752,-23,-26.3166666666669,0.7,0.400000000000002,-0.139208422127306,0.0923142613189074,0.699722222222216,0.195534731786009,-23,-38.316666666667,0.7,0.400000000000002,-0.139208422127306,0.0923142613189074
"9","Mill Creek",12,34.07808,-116.8756,1.24708333333332,-0.158343473135993,8,-61.633333333333,0.5,0.0999999999999979,0.0627019716531296,-0.414973347970818,0.988750000000013,0.0535043575998421,8,-46.383333333333,0.5,0.0999999999999979,0.0627019716531296,-0.414973347970818
"10","North Fork Middle Fork Tule",3,36.20081,-118.6509,1.8027777777778,-0.233832700085258,-6,3.76666666666699,1.1,0.5,-0.0716706375021952,0.263241434774582,1.13611111111112,0.0853329158787998,-6,-61.983333333333,1.1,0.5,-0.0716706375021952,0.263241434774582
"11","O'Neil Creek",9,41.80979,-123.1189,1.01291666666672,-0.0222469653439885,-10,-40.016666666667,0.4,0.799999999999997,-0.177503600078939,0.133893579261226,0.515000000000049,0.195167776507127,-10,-60.016666666667,0.4,0.799999999999997,-0.177503600078939,0.133893579261226
"12","Oregon Creek",6,39.39704,-121.082,1.1616666666667,-0.173788296097534,-3,-5.96666666666704,0.200000000000001,0.399999999999999,-0.0757490058166925,0.0606978403536116,0.590833333333351,0.196409246544664,-3,-53.966666666667,0.200000000000001,0.399999999999999,-0.0757490058166925,0.0606978403536116
"13","Rainbow Pool",29,37.81878,-120.0073,1.15361111111108,-0.205774601955878,-3,-14.45,0.3,0.100000000000001,-0.072706747826627,0.166331421766525,0.636944444444425,0.189587481106259,-3,-85.2,0.3,0.100000000000001,-0.072706747826627,0.166331421766525
