"","Site","Paper_ID","Latitude","Longitude","MAT","MAP","CMD"
"1","Buck Meadows",27,37.77722,-120.0633,14.0355555555556,846.233333333333,892
"2","Canton Creek",57,43.4137,-122.7804,11.0669444444444,1260.43333333333,501.266666666667
"3","Carlon",28,37.81006,-119.8568,11.6969444444444,905.766666666667,755.566666666667
"4","Coast Fork of Williamette",55,43.6517,-123.088,11.31,1123.8,499.566666666667
"5","Deep Creek",8,41.66546,-123.1134,12.8886111111111,241.133333333333,981.166666666667
"6","Hauser Creek",14,32.65822,-116.5323,15.2505555555556,362.433333333333,1283.53333333333
"7","Kitchen Creek",15,32.75206,-116.4522,13.6472222222222,538,1112.13333333333
"8","Little Jameson Creek",7,39.74298,-120.704,8.88361111111111,1100.13333333333,651.066666666667
"9","Mill Creek",12,34.07808,-116.8756,8.65083333333333,829.166666666667,750.633333333333
"10","North Fork Middle Fork Tule",3,36.20081,-118.6509,13.1847222222222,834.033333333333,815.733333333333
"11","O'Neil Creek",9,41.80979,-123.1189,12.0808333333333,739.6,771.266666666667
"12","Oregon Creek",6,39.39704,-121.082,15.6508333333333,1216.53333333333,855.466666666667
"13","Rainbow Pool",29,37.81878,-120.0073,13.5880555555556,843.033333333333,864.7
"14","Redwood Creek",4,36.68952,-118.9096,9.94194444444444,901.233333333333,702.766666666667
"15","Rock Creek",11,43.37876,-122.9521,11.605,1320.96666666667,538.3
"16","South Fork Middle Fork Tule",58,36.13756,-118.5741,10.4372222222222,890.833333333333,744.8
"17","Sweetwater River",1,32.89913,-116.5865,13.3186111111111,708.1,956.2
"18","Wawona",5,37.53822,-119.6514,12.725,952.533333333333,816.033333333333
"19","West Fork Mojave River",2,34.28425,-117.3754,15.0394444444444,633.566666666667,1014.36666666667
"20","Whitewater Canyon",17,33.99329,-116.6627,18.5930555555556,277.633333333333,1317.76666666667
